Documento: ejemplos/document-01.txt
Idx	Termino	TF	IDF	TF-IDF
403	pieces	2	1.09861	2.19722
404	pine	1	0.405465	0.405465
405	pines	1	0	0
406	place	1	0	0
409	plants	1	0	0
410	presence	1	1.09861	1.09861
411	present	1	0.405465	0.405465
412	problems	1	0.405465	0.405465
413	prove	1	1.09861	1.09861
416	quiet	2	0	0
417	quietly	2	0.405465	0.81093
418	quite	1	1.09861	1.09861
419	rare	1	0	0
420	rather	1	1.09861	1.09861
421	reached	3	0	0
423	realized	2	0	0
425	reflected	1	1.09861	1.09861
427	reminded	2	0	0
428	reminder	1	0	0
430	required	1	1.09861	1.09861
432	rested	1	1.09861	1.09861
438	ripples	1	0	0
439	rise	1	0.405465	0.405465
440	road	1	0	0
441	rock	1	1.09861	1.09861
443	roots	1	0	0
447	row	1	0.405465	0.405465
448	rugged	1	1.09861	1.09861
452	rushing	1	0.405465	0.405465
453	rustled	1	1.09861	1.09861
455	same	1	0.405465	0.405465
456	sat	2	0	0
462	schedule	1	1.09861	1.09861
467	see	1	0	0
468	seeing	1	0.405465	0.405465
469	seem	1	0.405465	0.405465
470	seemed	3	0	0
472	sense	1	1.09861	1.09861
474	separate	1	1.09861	1.09861
480	sharper	1	1.09861	1.09861
481	shimmered	1	0.405465	0.405465
485	shore	2	0	0
487	side	2	0.405465	0.81093
488	sight	1	0.405465	0.405465
492	simply	2	0	0
493	single	1	0.405465	0.405465
495	sky	4	0	0
497	slow	1	0	0
498	slowly	1	0	0
499	small	3	0	0
500	smelled	1	0.405465	0.405465
502	so	1	0	0
503	soft	1	0.405465	0.405465
505	softer	1	0.405465	0.405465
509	solved	1	0.405465	0.405465
511	somehow	1	1.09861	1.09861
512	something	7	0	0
514	sound	2	0.405465	0.81093
516	speed	1	1.09861	1.09861
517	splash	1	0.405465	0.405465
518	spread	1	0.405465	0.405465
519	stained	1	1.09861	1.09861
520	standing	1	1.09861	1.09861
524	startling	1	1.09861	1.09861
525	stay	1	1.09861	1.09861
528	step	1	0	0
529	stepped	2	0.405465	0.81093
530	still	5	0	0
531	stillness	4	0	0
535	stopped	1	0	0
538	stretched	1	0	0
539	strokes	1	1.09861	1.09861
542	successful	1	0.405465	0.405465
543	such	1	0.405465	0.405465
544	sudden	1	1.09861	1.09861
546	sun	3	0	0
547	sunlight	1	0	0
548	surface	3	0	0
549	swayed	2	0.405465	0.81093
550	t	12	0	0
551	take	1	0	0
552	talking	1	1.09861	1.09861
553	tall	1	0	0
555	than	1	0	0
556	that	11	0	0
557	the	87	0	0
558	their	2	0	0
559	them	2	0	0
560	then	2	1.09861	2.19722
561	there	3	0	0
562	they	4	0	0
564	thing	1	1.09861	1.09861
565	things	2	0.405465	0.81093
566	think	1	1.09861	1.09861
569	though	2	0	0
570	thought	3	0	0
571	through	1	0	0
573	time	3	0	0
575	tiny	1	0.405465	0.405465
576	to	26	0	0
577	today	1	0.405465	0.405465
578	too	4	0	0
579	touched	1	0.405465	0.405465
581	trail	1	0	0
582	travel	1	1.09861	1.09861
583	traveler	1	1.09861	1.09861
584	trees	4	0	0
586	turned	1	1.09861	1.09861
589	underneath	1	1.09861	1.09861
591	unnoticed	1	0.405465	0.405465
592	unseen	1	0.405465	0.405465
593	until	1	0	0
594	unusually	1	0.405465	0.405465
595	up	1	0.405465	0.405465
596	urgency	1	1.09861	1.09861
601	very	1	0.405465	0.405465
604	waited	1	0	0
605	waiting	2	0	0
606	walk	4	0	0
607	walked	3	1.09861	3.29584
608	walking	2	0	0
609	wander	1	1.09861	1.09861
610	want	1	0.405465	0.405465
613	warmer	1	0.405465	0.405465
615	was	26	0	0
616	wasn	2	0	0
617	wasted	1	0.405465	0.405465
619	watched	1	0.405465	0.405465
621	water	6	0	0
623	waves	1	0	0
624	way	6	0	0
626	went	1	0.405465	0.405465
627	were	2	0.405465	0.81093
631	when	4	0	0
632	where	5	0	0
635	while	4	0	0
636	whisper	1	1.09861	1.09861
637	whispered	1	0	0
639	whole	1	1.09861	1.09861
640	why	1	0	0
641	wide	1	0	0
644	wild	1	1.09861	1.09861
645	wind	1	0	0
646	wings	1	0	0
647	with	9	0	0
648	without	1	0.405465	0.405465
649	wonder	1	1.09861	1.09861
653	words	1	0	0
656	world	3	0	0
658	worth	1	1.09861	1.09861
659	would	1	0.405465	0.405465
661	write	3	0	0
662	writing	1	0.405465	0.405465
663	wrote	3	0	0
664	yellow	1	1.09861	1.09861
666	you	4	1.09861	4.39445
667	your	1	1.09861	1.09861

Documento: ejemplos/document-02.txt
Idx	Termino	TF	IDF	TF-IDF
0	a	20	0	0
1	about	5	0	0
2	above	3	1.09861	3.29584
3	acceptance	1	0	0
5	achieve	1	1.09861	1.09861
7	across	5	0	0
9	admired	1	1.09861	1.09861
11	after	2	0.405465	0.81093
12	again	1	0.405465	0.405465
15	air	5	0	0
16	alive	1	0	0
17	all	6	0	0
18	allowed	2	0.405465	0.81093
21	along	2	0.405465	0.81093
23	altogether	1	1.09861	1.09861
24	always	1	0	0
25	an	1	0.405465	0.405465
26	anchored	1	1.09861	1.09861
27	and	26	0	0
28	another	2	0.405465	0.81093
29	anything	1	0	0
30	anywhere	2	0.405465	0.81093
32	appointments	1	1.09861	1.09861
33	around	1	1.09861	1.09861
34	arrived	1	1.09861	1.09861
35	as	5	0	0
36	ask	1	0.405465	0.405465
37	asked	1	0.405465	0.405465
38	asleep	1	0.405465	0.405465
39	at	3	0	0
40	attention	2	0	0
42	awake	1	0.405465	0.405465
43	away	1	0.405465	0.405465
44	back	4	0	0
45	balance	1	0	0
46	be	2	0	0
47	beautiful	1	0	0
48	beauty	1	0	0
49	became	1	1.09861	1.09861
52	before	3	0	0
53	began	1	0	0
57	beneath	1	0	0
58	birds	1	0	0
61	bothered	1	1.09861	1.09861
63	branches	1	0.405465	0.405465
65	breathing	2	0.405465	0.81093
66	breeze	1	0.405465	0.405465
67	bright	1	0.405465	0.405465
68	brighter	1	1.09861	1.09861
69	bring	1	1.09861	1.09861
72	brushing	1	0.405465	0.405465
74	busy	1	1.09861	1.09861
75	but	13	0	0
76	by	3	0	0
78	calm	1	0	0
80	calmness	1	1.09861	1.09861
81	came	1	0.405465	0.405465
82	care	1	0	0
84	carefully	2	0.405465	0.81093
85	carried	2	0	0
87	caught	2	0	0
88	challenges	1	1.09861	1.09861
90	chase	1	1.09861	1.09861
91	circles	1	1.09861	1.09861
92	clean	1	1.09861	1.09861
93	climbed	1	0.405465	0.405465
94	climbing	1	1.09861	1.09861
95	close	1	1.09861	1.09861
96	closed	1	0	0
102	conditions	1	1.09861	1.09861
103	confidently	1	1.09861	1.09861
104	connected	1	0	0
105	constant	1	1.09861	1.09861
106	constantly	1	0.405465	0.405465
107	continued	1	1.09861	1.09861
108	contributed	1	1.09861	1.09861
110	coolness	1	1.09861	1.09861
111	could	3	0	0
112	couldn	1	0.405465	0.405465
113	course	1	0.405465	0.405465
115	crisp	1	0.405465	0.405465
116	crowded	1	0.405465	0.405465
119	currents	1	0	0
120	daily	3	0.405465	1.2164
122	danced	1	1.09861	1.09861
124	darting	1	1.09861	1.09861
125	day	3	0	0
126	deadlines	1	1.09861	1.09861
127	decided	1	0	0
128	deeper	1	0	0
129	deeply	1	0	0
130	deliberate	1	0.405465	0.405465
132	demanded	1	1.09861	1.09861
