Documento: ejemplos/doc1.txt
Idx	Termino	TF	IDF	TF-IDF

Documento: ejemplos/doc2.txt
Idx	Termino	TF	IDF	TF-IDF

Documento: ejemplos/document-01.txt
Idx	Termino	TF	IDF	TF-IDF
495	opened	1	0.262364	0.262364
497	or	3	0.262364	0.787093
500	other	2	0.367725	0.73545
501	out	3	0.262364	0.787093
502	outside	1	0.485508	0.485508
504	outward	1	0.77319	0.77319
506	over	1	1.8718	1.8718
508	overlooked	1	1.46634	1.46634
509	own	1	1.17865	1.17865
513	painted	1	2.56495	2.56495
515	pale	1	0.485508	0.485508
519	pass	1	1.17865	1.17865
522	passing	2	0.485508	0.971016
524	path	3	0.262364	0.787093
529	paused	1	0.485508	0.485508
532	peace	1	0.367725	0.367725
533	pen	1	0.262364	0.262364
536	perhaps	1	0.955511	0.955511
539	pine	1	0.367725	0.367725
540	pines	1	0.485508	0.485508
541	pink	1	0.77319	0.77319
542	place	2	0.619039	1.23808
545	plants	1	0.262364	0.262364
550	present	1	0.485508	0.485508
551	pressing	1	2.56495	2.56495
553	problem	1	1.46634	1.46634
560	quiet	5	0.262364	1.31182
565	rare	1	0.262364	0.262364
567	reached	1	0.262364	0.262364
569	realized	1	0.367725	0.367725
570	reason	1	0.955511	0.955511
572	reflecting	1	0.367725	0.367725
573	remember	1	2.56495	2.56495
575	reminded	2	0.485508	0.971016
576	reminder	1	0.262364	0.262364
578	required	1	1.8718	1.8718
581	restless	1	1.17865	1.17865
583	returned	1	1.46634	1.46634
584	revealed	1	0.619039	0.619039
585	rhythm	1	0.485508	0.485508
586	right	1	0.619039	0.619039
587	rings	1	0.955511	0.955511
589	ripples	2	0.262364	0.524729
595	rock	1	0.77319	0.77319
597	rolling	1	2.56495	2.56495
598	roots	1	0.262364	0.262364
601	rougher	1	0.955511	0.955511
607	rushing	2	0.619039	1.23808
610	same	2	0.367725	0.73545
611	sat	2	0.262364	0.524729
614	scattered	1	1.17865	1.17865
623	see	1	0.262364	0.262364
626	seemed	4	0.262364	1.04946
627	seen	1	1.8718	1.8718
630	sent	1	2.56495	2.56495
634	set	1	1.8718	1.8718
636	settled	1	2.56495	2.56495
640	sharp	1	0.367725	0.367725
642	sheet	1	2.56495	2.56495
646	shimmering	1	1.8718	1.8718
651	shore	1	0.367725	0.367725
654	sight	1	1.17865	1.17865
655	silence	1	0.619039	0.619039
657	silently	1	2.56495	2.56495
660	simply	3	0.262364	0.787093
663	sky	4	0.262364	1.04946
669	slowed	2	1.17865	2.35731
672	slowly	2	0.367725	0.73545
673	small	2	0.262364	0.524729
674	smell	1	0.77319	0.77319
677	so	2	0.367725	0.73545
678	soft	2	0.485508	0.971016
681	softly	1	0.955511	0.955511
682	soil	1	0.619039	0.619039
688	some	1	1.46634	1.46634
691	something	2	0.262364	0.524729
693	soon	1	1.46634	1.46634
695	sound	2	0.619039	1.23808
699	splash	1	0.367725	0.367725
700	spread	1	0.485508	0.485508
705	stared	1	1.17865	1.17865
708	started	1	0.955511	0.955511
710	startle	1	2.56495	2.56495
716	steady	2	0.619039	1.23808
717	step	2	0.262364	0.524729
718	stepped	1	0.955511	0.955511
720	still	5	0.262364	1.31182
